grid_id,local,visitor,total_local,total_visitor,OR
234,33,1549,39961,3096509,1.6508154359474019
269,5,1327,39961,3096509,0.2919678827022134
270,8,2250,39961,3096509,0.2755138704681509
286,39,2444,39961,3096509,1.2365150436569272
287,49,978,39961,3096509,3.8823369400707612
304,28,1942,39961,3096509,1.1172357002763587
321,196,5156,39961,3096509,2.945636561201866
323,16,1292,39961,3096509,0.9596071339834976
338,58,2548,39961,3096509,1.7638618571474536
339,233,5515,39961,3096509,3.273756722414508
341,12,911,39961,3096509,1.0207017703951802
354,275,7622,39961,3096509,2.7957591077172714
355,82,3405,39961,3096509,1.8660906424880264
370,78,3360,39961,3096509,1.798834980177101
371,282,6872,39961,3096509,3.1798157525473254
374,8,356,39961,3096509,1.7413095745880323
377,5,510,39961,3096509,0.759688981070269
387,284,14804,39961,3096509,1.4865354231048062
388,78,2958,39961,3096509,2.043301397361413
406,25,4411,39961,3096509,0.43917635496014196
407,206,5658,39961,3096509,2.821241581874954
424,67,8631,39961,3096509,0.6015194643302304
425,9,1288,39961,3096509,0.5414553452038097
442,191,6440,39961,3096509,2.2981771318650592
462,79,3839,39961,3096509,1.5945751001469726
463,145,4570,39961,3096509,2.458599568934197
480,146,4551,39961,3096509,2.4858906407599313
481,124,6016,39961,3096509,1.5971652647235308
482,7,409,39961,3096509,1.3262052138977312
483,7,1066,39961,3096509,0.508834833474833
500,64,2993,39961,3096509,1.6569494381646228
501,67,2885,39961,3096509,1.7995544182440966
502,167,5595,39961,3096509,2.3128761579179553
521,38,1244,39961,3096509,2.3670052175469154
522,89,5151,39961,3096509,1.3388578082228504
539,5,163,39961,3096509,2.3769409837167927
541,8,3497,39961,3096509,0.17726800358974537
542,58,3017,39961,3096509,1.4896652343426289
558,5,2391,39961,3096509,0.1620415643437211
559,111,4263,39961,3096509,2.017639841350595
562,44,1913,39961,3096509,1.7822708557466636
574,5,549,39961,3096509,0.7057220042729275
576,120,5867,39961,3096509,1.584897414061717
579,149,4025,39961,3096509,2.868510095479739
592,123,2507,39961,3096509,3.801778203632866
593,89,23138,39961,3096509,0.29805759227919015
594,106,3855,39961,3096509,2.1306763329005833
597,264,6357,39961,3096509,3.2180124087242734
598,75,2351,39961,3096509,2.4719781817046185
608,11,1051,39961,3096509,0.8110095497248733
610,134,5925,39961,3096509,1.7524774672183017
611,53,2433,39961,3096509,1.6879895732288839
612,96,3082,39961,3096509,2.413651688072704
613,85,3876,39961,3096509,1.699304299762444
614,178,11571,39961,3096509,1.1920242969762167
