grid_id,local,visitor,total_local,total_visitor,OR
135,5,86,115506,3314402,1.6682924756954134
147,6,110,115506,3314402,1.5651616681069696
159,5,268,115506,3314402,0.535347585484349
171,6,272,115506,3314402,0.6329697922491421
182,5,130,115506,3314402,1.103639637767735
215,15,217,115506,3314402,1.9834998098129801
218,9,301,115506,3314402,0.8579789875004984
233,7,176,115506,3314402,1.1412637163279986
234,115,1476,115506,3314402,2.2356927621446663
248,6,35,115506,3314402,4.91907952833619
249,5,49,115506,3314402,2.9280235287715417
251,17,1580,115506,3314402,0.30873969613502456
252,6,241,115506,3314402,0.7143891431193639
266,7,117,115506,3314402,1.716772769860921
269,31,1308,115506,3314402,0.6800715199088642
270,71,2196,115506,3314402,0.927740788396739
285,14,1062,115506,3314402,0.37827196624054193
286,96,2400,115506,3314402,1.1477852232784445
287,135,901,115506,3314402,4.2994174567866255
302,5,223,115506,3314402,0.643377367308545
303,7,447,115506,3314402,0.44935663103742235
304,112,1866,115506,3314402,1.7222929395389306
305,14,259,115506,3314402,1.5510611125384384
320,7,365,115506,3314402,0.5503079837636377
321,357,5015,115506,3314402,2.042668617698926
322,17,416,115506,3314402,1.1726171151282183
323,70,1237,115506,3314402,1.623786694209602
338,118,2492,115506,3314402,1.3587345139130862
339,408,5361,115506,3314402,2.1838107214027485
341,32,892,115506,3314402,1.0294037876936721
342,10,539,115506,3314402,0.5323679143220985
351,5,133,115506,3314402,1.0787455106000419
353,5,332,115506,3314402,0.43214805093314923
354,502,7414,115506,3314402,1.9429059282633503
355,135,3364,115506,3314402,1.1515383854235284
356,5,250,115506,3314402,0.5738926116392221
357,6,445,115506,3314402,0.3868938954871161
370,142,3295,115506,3314402,1.2366123042908883
371,502,6669,115506,3314402,2.1599497004265227
374,22,347,115506,3314402,1.8192561175883126
377,27,485,115506,3314402,1.5974330427071135
387,667,14444,115506,3314402,1.3250705205045736
388,165,2876,115506,3314402,1.6462496682974908
405,21,1654,115506,3314402,0.3643211863489621
406,65,4382,115506,3314402,0.42563920306423375
407,309,5580,115506,3314402,1.5890037365279541
421,7,109,115506,3314402,1.842774441043374
422,22,1106,115506,3314402,0.5707792701655917
423,6,366,115506,3314402,0.4704037800321494
424,181,8538,115506,3314402,0.6083073477787492
425,13,1288,115506,3314402,0.28961971860675034
426,9,330,115506,3314402,0.7825808340534848
439,5,199,115506,3314402,0.7209706176372138
442,342,6302,115506,3314402,1.5572141636037289
461,7,397,115506,3314402,0.5059506651731178
462,156,3776,115506,3314402,1.1854773227716984
463,258,4468,115506,3314402,1.6569415152520068
465,10,438,115506,3314402,0.6551285520995688
478,5,237,115506,3314402,0.6053719532059305
480,257,4449,115506,3314402,1.6575680061955507
481,247,5905,115506,3314402,1.2002665120650964
482,7,410,115506,3314402,0.48990832700909215
483,31,1046,115506,3314402,0.8504144818745645
487,5,398,115506,3314402,0.3604853088186069
500,133,2923,115506,3314402,1.3056400504279262
501,138,2818,115506,3314402,1.4052019234601252
502,329,5456,115506,3314402,1.730303053787611
504,37,1159,115506,3314402,0.9160494663783961
519,10,186,115506,3314402,1.5427220742989844
520,13,885,115506,3314402,0.4215030480966039
521,65,1213,115506,3314402,1.5376347797423513
522,173,5079,115506,3314402,0.9773914334867636
524,5,208,115506,3314402,0.6897747736048344
525,7,814,115506,3314402,0.246759722449297
538,6,103,115506,3314402,1.6715318785608415
539,9,157,115506,3314402,1.6449151289022292
541,56,3447,115506,3314402,0.46617328476641196
542,137,2948,115506,3314402,1.3335021674791967
544,10,651,115506,3314402,0.4407777355139955
558,43,2360,115506,3314402,0.522825896196749
559,186,4199,115506,3314402,1.2710648459739857
562,81,1883,115506,3314402,1.2343415173334307
574,14,539,115506,3314402,0.7453150800509379
575,18,1914,115506,3314402,0.26985546001844307
576,232,5785,115506,3314402,1.1507613301668067
577,12,874,115506,3314402,0.3939766212626239
579,246,3945,115506,3314402,1.7893229716508068
580,6,608,115506,3314402,0.283170696532511
581,12,220,115506,3314402,1.5651616681069696
592,195,2433,115506,3314402,2.2998162611929374
593,749,22495,115506,3314402,0.9554246857474493
594,190,3790,115506,3314402,1.438517100414937
597,473,6157,115506,3314402,2.204411282323795
598,137,2294,115506,3314402,1.7136723582077908
599,14,403,115506,3314402,0.9968358018547283
608,30,1032,115506,3314402,0.8341462378477066
609,40,5677,115506,3314402,0.20218164933564284
610,267,5811,115506,3314402,1.318441983373536
611,96,2403,115506,3314402,1.1463522829247885
612,176,3008,115506,3314402,1.6789411510721928
613,144,3825,115506,3314402,1.080268445438536
614,407,11365,115506,3314402,1.0276035764943399
615,310,6021,115506,3314402,1.477385065671474
616,5,241,115506,3314402,0.5953242859328032
624,67,2398,115506,3314402,0.8017265425318576
625,90,8703,115506,3314402,0.29673868233672296
626,251,7286,115506,3314402,0.9885193900730495
627,228,4005,115506,3314402,1.6335520031678235
628,20,2933,115506,3314402,0.1956674434501269
629,417,8839,115506,3314402,1.3537346931415073
630,453,8358,115506,3314402,1.55523661804599
631,177,3097,115506,3314402,1.6399578989367505
640,62,1267,115506,3314402,1.4041571397644743
641,35,4430,115506,3314402,0.22670701362723225
642,38,1710,115506,3314402,0.6376584573769135
643,241,9171,115506,3314402,0.7540514633358006
644,244,7169,115506,3314402,0.9766340998742518
645,306,8758,115506,3314402,1.0025755832473282
646,35,1556,115506,3314402,0.6454447753011817
647,393,6584,115506,3314402,1.7127870320034502
649,5,906,115506,3314402,0.15835888842141893
656,8,115,115506,3314402,1.9961482143972948
657,13,786,115506,3314402,0.47459312667365705
658,16,1216,115506,3314402,0.3775609287100146
659,8,678,115506,3314402,0.33857971188154706
660,171,3887,115506,3314402,1.2623570438681118
661,84,4969,115506,3314402,0.4850772728687328
662,24,1348,115506,3314402,0.510883630539367
663,320,5816,115506,3314402,1.5787967307819042
664,66,2057,115506,3314402,0.9206833341805704
665,27,969,115506,3314402,0.7995407902094428
666,6,772,115506,3314402,0.22301526359037135
674,33,787,115506,3314402,1.2032056025472893
675,64,1788,115506,3314402,1.0271008709426797
676,6,1607,115506,3314402,0.10713614405212613
677,98,2061,115506,3314402,1.3644220267016929
678,226,3696,115506,3314402,1.7545959176199164
680,142,4155,115506,3314402,0.980658855027311
681,104,2409,115506,3314402,1.2387885348791845
683,8,593,115506,3314402,0.38711137378699645
694,31,2108,115506,3314402,0.42197986149942807
695,193,4575,115506,3314402,1.210505727282731
696,30,2311,115506,3314402,0.3724962862219097
697,10,1296,115506,3314402,0.22140918658920608
698,165,3832,115506,3314402,1.235546462949787
699,92,1397,115506,3314402,1.8896965021763936
700,11,828,115506,3314402,0.38120886038837226
701,300,7367,115506,3314402,1.1685067428516809
704,9,263,115506,3314402,0.9819455332230038
705,14,1380,115506,3314402,0.2911049479329388
714,27,1575,115506,3314402,0.4919079528336191
715,199,5343,115506,3314402,1.0687313280573199
716,239,10859,115506,3314402,0.6315514052020171
717,33,1178,115506,3314402,0.8038393966084183
718,27,606,115506,3314402,1.2784736397903464
719,24,636,115506,3314402,1.082816248375891
720,47,1701,115506,3314402,0.7928557538813475
721,289,6195,115506,3314402,1.3386195703287749
722,205,3424,115506,3314402,1.717990440800826
724,8,272,115506,3314402,0.8439597229988561
725,19,2390,115506,3314402,0.22811631006579963
726,8,355,115506,3314402,0.6466395624103912
734,73,1864,115506,3314402,1.123770403692683
735,233,8116,115506,3314402,0.8237862155737972
736,78,2408,115506,3314402,0.9294772364588731
737,41,1285,115506,3314402,0.9155485244049849
738,35,1074,115506,3314402,0.9351136595611161
739,160,2984,115506,3314402,1.5385860901855821
740,76,1928,115506,3314402,1.131116143272326
741,386,6940,115506,3314402,1.5959837758842923
745,11,1949,115506,3314402,0.16195019825632234
746,42,2713,115506,3314402,0.44422207314499323
755,103,2732,115506,3314402,1.0818253843125893
756,193,3728,115506,3314402,1.4855321089910125
757,137,3347,115506,3314402,1.1745337286312134
758,48,1406,115506,3314402,0.9796175447611191
759,127,3493,115506,3314402,1.043291750331824
760,31,1171,115506,3314402,0.7596358224088766
761,23,955,115506,3314402,0.6910748726545607
762,434,6827,115506,3314402,1.824149651760821
763,297,4357,115506,3314402,1.9560030486211728
765,14,1167,115506,3314402,0.34423721349396363
766,9,1226,115506,3314402,0.21064573836676181
767,81,3713,115506,3314402,0.6259803601235793
773,33,666,115506,3314402,1.421806019826902
774,120,3368,115506,3314402,1.0223740112337687
775,166,6624,115506,3314402,0.7190985320962476
776,34,1518,115506,3314402,0.6426992356960985
777,368,7069,115506,3314402,1.4937931891585357
778,83,2760,115506,3314402,0.8629182385154972
780,50,1276,115506,3314402,1.1243977500768458
781,167,3385,115506,3314402,1.4156582886816855
782,10,1095,115506,3314402,0.26205142083982746
785,409,7016,115506,3314402,1.6727628147123852
786,276,4675,115506,3314402,1.6940573348922494
792,10,616,115506,3314402,0.46582192503183617
793,38,1388,115506,3314402,0.7855878689585896
794,23,2392,115506,3314402,0.2759099094419337
795,67,1394,115506,3314402,1.3791536936810578
796,146,6033,115506,3314402,0.6944167188739138
797,126,7657,115506,3314402,0.472185379825924
800,91,2404,115506,3314402,1.0861944188679122
804,6,512,115506,3314402,0.3362652021323568
805,331,6474,115506,3314402,1.467087229321768
806,8,560,115506,3314402,0.40992329402801586
811,59,1353,115506,3314402,1.2512810083782004
812,67,2623,115506,3314402,0.7329547270268374
813,210,7379,115506,3314402,0.8166245320791209
814,27,496,115506,3314402,1.5620061002277217
815,73,3668,115506,3314402,0.5710763447336862
823,236,4368,115506,3314402,1.5503509197213419
824,193,4473,115506,3314402,1.238109479615134
829,46,2187,115506,3314402,0.6035450419616878
830,114,5976,115506,3314402,0.547387531181989
831,204,5773,115506,3314402,1.0139796706599804
