u_id,home,name
42151437,1622,APDM
44523269,962,APDM
71380694,1449,APDM
59406560,559,APDM
97357036,1394,APDM
80510132,1101,APDM
43955425,1483,APDM
36398841,611,APDM
10957864,1328,APDM
27786321,763,APDM
87193147,1165,APDM
11600879,805,APDM
56136459,1191,APDM
40155565,643,APDM
24258815,304,APDM
33580842,1194,APDM
29600197,1611,APDM
57040696,1325,APDM
95991240,629,APDM
69642188,630,APDM
14476167,800,APDM
45380739,1412,APDM
56878696,644,APDM
18500630,1328,APDM
75126825,501,APDM
80803817,1220,APDM
49788427,1400,APDM
54937116,628,APDM
87088088,1401,APDM
89131556,1178,APDM
24022296,1374,APDM
53809901,1552,APDM
26800211,630,APDM
66383727,626,APDM
82389733,1213,APDM
18200576,1591,APDM
3616771,1510,APDM
89967313,321,APDM
53344455,1253,APDM
98975270,1552,APDM
23881958,1461,APDM
82752427,1188,APDM
9213221,542,APDM
69784491,1124,APDM
40081429,354,APDM
9663088,1345,APDM
31530807,1136,APDM
34411813,1477,APDM
63166838,626,APDM
44697543,1291,APDM
28040731,701,APDM
62858976,1192,APDM
31426400,463,APDM
38014385,1343,APDM
70308727,1233,APDM
92011954,597,APDM
76283258,1461,APDM
76954792,778,APDM
90328402,813,APDM
80887155,664,APDM
70615646,1486,APDM
51617100,1256,APDM
74528701,559,APDM
10219911,1574,APDM
11763628,354,APDM
64010228,1604,APDM
4894046,576,APDM
66560269,1158,APDM
45157886,1621,APDM
94270946,805,APDM
56977038,597,APDM
98488851,1254,APDM
40826722,898,APDM
5719037,1152,APDM
14183422,1494,APDM
50225149,371,APDM
70620308,1147,APDM
20728494,1135,APDM
51542454,1478,APDM
25362405,442,APDM
20837974,1437,APDM
76838932,1425,APDM
71354534,660,APDM
62681171,1571,APDM
46036621,1407,APDM
38644732,1631,APDM
23009342,1233,APDM
97319682,980,APDM
90974239,956,APDM
83954233,1478,APDM
22141794,918,APDM
272205,1153,APDM
29671736,680,APDM
14246242,1125,APDM
61053252,1572,APDM
25004240,597,APDM
39000543,1629,APDM
69369183,905,APDM
36747289,1080,APDM
41605338,1359,APDM
85355085,1541,APDM
18507657,1214,APDM
18362704,1271,APDM
94981687,1395,APDM
47935212,1296,APDM
76358203,321,APDM
79396875,1329,APDM
16645518,522,APDM
34484479,1436,APDM
36830659,1253,APDM
24638283,1274,APDM
52808003,724,APDM
7491490,1407,APDM
61043587,1562,APDM
17394636,867,APDM
69853696,1152,APDM
14157848,1612,APDM
40506425,1400,APDM
96271535,480,APDM
40893053,1521,APDM
37989635,917,APDM
53661823,1466,APDM
57980153,286,APDM
99991645,701,APDM
14002854,1214,APDM
27901615,1124,APDM
2098407,1622,APDM
40799856,805,APDM
13746690,1212,APDM
71677219,1113,APDM
58884245,630,APDM
59607707,701,APDM
69544231,664,APDM
94614340,1113,APDM
72990566,918,APDM
25956154,542,APDM
87625335,1137,APDM
62404218,1221,APDM
33603672,1030,APDM
15355517,1233,APDM
58460132,1257,APDM
50694948,610,APDM
90543836,1358,APDM
2113782,925,APDM
20217617,925,APDM
17056001,1092,APDM
95054860,1396,APDM
11114471,937,APDM
84585572,387,APDM
1381283,1038,APDM
43894779,823,APDM
133213,387,APDM
61755545,442,APDM
26078348,1080,APDM
6396038,823,APDM
6306475,1153,APDM
81579738,644,APDM
15261584,862,APDM
21085160,899,APDM
74017474,1461,APDM
35052083,1426,APDM
74202978,1232,APDM
93876065,1078,APDM
68988232,1384,APDM
67921619,1147,APDM
52057192,1213,APDM
21259869,480,APDM
19938078,1629,APDM
35167510,663,APDM
96420828,647,APDM
30771079,1195,APDM
74765167,442,APDM
27475311,624,APDM
63386186,1605,APDM
50441359,339,APDM
90802653,859,APDM
23495680,1221,APDM
19109602,1082,APDM
74991717,805,APDM
93855332,442,APDM
27742845,1438,APDM
38997513,1400,APDM
71777129,1374,APDM
