u_id,home,name
43755468,1361,FREQ
34669727,1114,FREQ
4802438,1034,FREQ
9058186,1483,FREQ
36295842,1093,FREQ
88775668,354,FREQ
4823994,1621,FREQ
25382633,739,FREQ
49159425,1647,FREQ
57211883,1411,FREQ
26831602,1488,FREQ
67569586,339,FREQ
92160231,823,FREQ
30898106,647,FREQ
29938120,442,FREQ
23322196,785,FREQ
91782233,1167,FREQ
86483387,762,FREQ
32863321,812,FREQ
31990141,1612,FREQ
97656817,1080,FREQ
549173,1436,FREQ
36145561,937,FREQ
81676504,1437,FREQ
52958401,1629,FREQ
23425972,918,FREQ
51333414,1192,FREQ
42080476,1436,FREQ
99779976,1209,FREQ
93282976,1450,FREQ
743420,1386,FREQ
50941219,1443,FREQ
64657187,831,FREQ
6313263,701,FREQ
71157630,1629,FREQ
80563249,1259,FREQ
3616771,1510,FREQ
68020602,1342,FREQ
57053810,963,FREQ
13222403,1131,FREQ
72200684,1290,FREQ
7562325,1238,FREQ
59553592,1639,FREQ
26639299,1395,FREQ
93888626,559,FREQ
95800429,736,FREQ
56232635,1478,FREQ
82293319,1015,FREQ
43472913,663,FREQ
93528314,762,FREQ
35216813,1060,FREQ
84574690,741,FREQ
47764974,1521,FREQ
93193148,1478,FREQ
61248973,757,FREQ
93011276,1384,FREQ
52870324,500,FREQ
21496718,1040,FREQ
72823687,387,FREQ
59136322,1112,FREQ
15899917,918,FREQ
64275847,1431,FREQ
90730458,1395,FREQ
35790021,1081,FREQ
61700883,715,FREQ
1860157,1638,FREQ
83225374,1256,FREQ
26845304,1709,FREQ
23145503,937,FREQ
87188746,1387,FREQ
54077683,1213,FREQ
27091433,1113,FREQ
84820264,721,FREQ
51146177,1611,FREQ
57054828,1530,FREQ
70665861,1021,FREQ
8551083,406,FREQ
46639409,1612,FREQ
9828046,1455,FREQ
74567697,644,FREQ
13497663,1369,FREQ
36790157,1561,FREQ
44719930,1238,FREQ
95738526,1172,FREQ
52819344,1629,FREQ
83760407,1425,FREQ
15292229,1612,FREQ
69503825,562,FREQ
96227500,1483,FREQ
75756886,1135,FREQ
16014198,1254,FREQ
21263653,1231,FREQ
72196038,1398,FREQ
69047661,463,FREQ
29250185,1372,FREQ
7496455,1561,FREQ
49496319,963,FREQ
84384394,842,FREQ
52137275,463,FREQ
9858438,735,FREQ
19527746,1561,FREQ
56221101,339,FREQ
27379244,614,FREQ
38293719,735,FREQ
36965526,1215,FREQ
34810508,1564,FREQ
17056001,1092,FREQ
38031076,1612,FREQ
13315751,1231,FREQ
32566727,1231,FREQ
55673636,1395,FREQ
37160145,614,FREQ
41582270,1375,FREQ
66354440,1167,FREQ
9280499,1604,FREQ
23389359,663,FREQ
16378190,805,FREQ
99516198,355,FREQ
68127181,759,FREQ
64484905,741,FREQ
51698879,371,FREQ
43870283,1483,FREQ
97832135,1187,FREQ
966404,1447,FREQ
73006745,1080,FREQ
53676360,1471,FREQ
72173052,579,FREQ
64869859,1079,FREQ
9963218,899,FREQ
305651,1637,FREQ
63056492,1272,FREQ
69649512,1400,FREQ
21561681,1114,FREQ
25683905,387,FREQ
20014932,1080,FREQ
10133536,1629,FREQ
74701847,1254,FREQ
36186179,1278,FREQ
51284014,502,FREQ
16082695,1135,FREQ
96681448,1425,FREQ
43232371,1199,FREQ
86963599,1235,FREQ
93218801,1114,FREQ
63900499,1605,FREQ
55224899,1472,FREQ
71044342,1542,FREQ
44285244,1339,FREQ
61422268,1102,FREQ
83072850,1472,FREQ
81878871,1174,FREQ
48794861,371,FREQ
8488977,1478,FREQ
22813366,1034,FREQ
55178091,1054,FREQ
7043734,1296,FREQ
7824543,1576,FREQ
78345476,1372,FREQ
2239905,1034,FREQ
31490575,1344,FREQ
