u_id,home,name
43755468,1361,HMLC
34669727,1114,HMLC
4802438,1034,HMLC
9058186,1483,HMLC
36295842,1093,HMLC
88775668,354,HMLC
4823994,1621,HMLC
25382633,739,HMLC
49159425,1647,HMLC
57211883,1411,HMLC
26831602,1488,HMLC
67569586,339,HMLC
92160231,823,HMLC
30898106,647,HMLC
29938120,701,HMLC
23322196,785,HMLC
91782233,1167,HMLC
86483387,762,HMLC
32863321,812,HMLC
31990141,1612,HMLC
97656817,1080,HMLC
549173,1436,HMLC
36145561,937,HMLC
81676504,1374,HMLC
52958401,1629,HMLC
23425972,918,HMLC
51333414,1192,HMLC
42080476,1448,HMLC
99779976,1209,HMLC
93282976,1450,HMLC
743420,1386,HMLC
50941219,1443,HMLC
64657187,831,HMLC
6313263,701,HMLC
71157630,1629,HMLC
80563249,1259,HMLC
3616771,1510,HMLC
68020602,1342,HMLC
57053810,963,HMLC
13222403,1131,HMLC
72200684,1426,HMLC
7562325,1238,HMLC
59553592,1639,HMLC
26639299,1395,HMLC
93888626,559,HMLC
95800429,736,HMLC
56232635,1478,HMLC
82293319,1015,HMLC
43472913,629,HMLC
93528314,762,HMLC
35216813,1060,HMLC
84574690,741,HMLC
47764974,1521,HMLC
93193148,1478,HMLC
61248973,757,HMLC
93011276,1384,HMLC
52870324,500,HMLC
21496718,1040,HMLC
72823687,387,HMLC
59136322,1112,HMLC
15899917,842,HMLC
64275847,1431,HMLC
90730458,1395,HMLC
35790021,1125,HMLC
61700883,715,HMLC
1860157,1638,HMLC
83225374,1541,HMLC
26845304,1709,HMLC
23145503,937,HMLC
87188746,1387,HMLC
54077683,1213,HMLC
27091433,1113,HMLC
84820264,721,HMLC
51146177,1611,HMLC
57054828,1530,HMLC
70665861,1021,HMLC
8551083,406,HMLC
46639409,1612,HMLC
9828046,1455,HMLC
74567697,644,HMLC
13497663,1369,HMLC
36790157,1561,HMLC
44719930,1238,HMLC
95738526,1172,HMLC
52819344,1629,HMLC
83760407,1425,HMLC
15292229,1612,HMLC
69503825,562,HMLC
96227500,1483,HMLC
75756886,1135,HMLC
16014198,1254,HMLC
21263653,1212,HMLC
72196038,1398,HMLC
69047661,463,HMLC
29250185,1372,HMLC
7496455,1561,HMLC
49496319,963,HMLC
84384394,880,HMLC
52137275,463,HMLC
9858438,735,HMLC
19527746,1561,HMLC
56221101,339,HMLC
27379244,614,HMLC
38293719,735,HMLC
36965526,1215,HMLC
34810508,1564,HMLC
17056001,1092,HMLC
38031076,1612,HMLC
13315751,1231,HMLC
32566727,1192,HMLC
55673636,1395,HMLC
37160145,614,HMLC
41582270,1375,HMLC
66354440,1167,HMLC
9280499,1604,HMLC
23389359,663,HMLC
16378190,805,HMLC
99516198,355,HMLC
68127181,759,HMLC
64484905,701,HMLC
51698879,371,HMLC
43870283,1461,HMLC
97832135,1187,HMLC
966404,1447,HMLC
73006745,1080,HMLC
53676360,1471,HMLC
72173052,579,HMLC
64869859,1079,HMLC
9963218,899,HMLC
305651,1637,HMLC
63056492,1272,HMLC
69649512,1400,HMLC
21561681,1114,HMLC
25683905,387,HMLC
20014932,1080,HMLC
10133536,1629,HMLC
74701847,1254,HMLC
36186179,1253,HMLC
51284014,502,HMLC
