u_id,home,name
43755468,1361,OSNA
34669727,1114,OSNA
4802438,1034,OSNA
9058186,1483,OSNA
36295842,1093,OSNA
88775668,354,OSNA
4823994,1621,OSNA
25382633,739,OSNA
49159425,1647,OSNA
57211883,1411,OSNA
26831602,1488,OSNA
67569586,339,OSNA
92160231,823,OSNA
30898106,647,OSNA
29938120,741,OSNA
23322196,785,OSNA
91782233,1167,OSNA
86483387,762,OSNA
32863321,850,OSNA
31990141,1612,OSNA
97656817,1080,OSNA
549173,1436,OSNA
36145561,937,OSNA
81676504,1374,OSNA
52958401,1629,OSNA
23425972,918,OSNA
51333414,1192,OSNA
42080476,1448,OSNA
99779976,1209,OSNA
93282976,1450,OSNA
743420,1386,OSNA
50941219,1443,OSNA
64657187,831,OSNA
6313263,701,OSNA
71157630,1629,OSNA
80563249,1259,OSNA
3616771,1510,OSNA
68020602,1342,OSNA
57053810,963,OSNA
13222403,1131,OSNA
72200684,1426,OSNA
7562325,1238,OSNA
59553592,1639,OSNA
26639299,1395,OSNA
93888626,559,OSNA
95800429,736,OSNA
56232635,1478,OSNA
82293319,1015,OSNA
43472913,629,OSNA
93528314,762,OSNA
35216813,1060,OSNA
84574690,741,OSNA
47764974,1521,OSNA
93193148,1478,OSNA
61248973,757,OSNA
93011276,1384,OSNA
52870324,500,OSNA
21496718,1040,OSNA
72823687,502,OSNA
59136322,1112,OSNA
15899917,918,OSNA
64275847,1431,OSNA
90730458,1395,OSNA
35790021,1081,OSNA
61700883,715,OSNA
1860157,1638,OSNA
83225374,1541,OSNA
26845304,1709,OSNA
23145503,937,OSNA
87188746,1387,OSNA
54077683,1213,OSNA
27091433,1113,OSNA
84820264,721,OSNA
51146177,1611,OSNA
57054828,1530,OSNA
70665861,1021,OSNA
8551083,406,OSNA
46639409,1612,OSNA
9828046,1455,OSNA
74567697,644,OSNA
13497663,1369,OSNA
36790157,1561,OSNA
44719930,1238,OSNA
95738526,1172,OSNA
52819344,1629,OSNA
83760407,1425,OSNA
15292229,1612,OSNA
69503825,562,OSNA
96227500,1483,OSNA
75756886,1135,OSNA
16014198,1254,OSNA
21263653,1212,OSNA
72196038,1398,OSNA
